customer_id,customer_type_business,annual_income,account_age_days,risk_rating_high,total_transactions,total_volume,avg_transaction_amount,max_transaction_amount,std_transaction_amount,transaction_date_range_days,num_deposits,num_withdrawals,deposit_withdrawal_ratio,total_deposits,total_withdrawals,num_cash_txns,num_wire_txns,pct_cash,pct_wire,total_cash_amount,num_intl_txns,num_high_risk_country_txns,pct_intl,total_intl_amount,num_just_under_10k,pct_just_under_10k,num_rapid_sequence_txns,avg_days_between_txns,volume_to_income_ratio,num_unique_counterparties,num_unique_locations,is_suspicious,typology,risk_score
0,1,167757.98,714,0,116,269300.62,2321.5570689655174,14557.26,4104.079291884455,350,12,104,0.11428571428571428,170916.44,98384.18,0,12,0.0,0.10344827586206896,0.0,0,0,0.0,0.0,0,0.0,42,3,1.6052828885821788,116,104,0,normal,0.0013952393
1,0,47274.67,3218,0,121,163053.15,1347.546694214876,4124.64,990.461510946108,348,12,109,0.10909090909090909,47117.9,115935.25,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,49,2,3.448986550587226,121,110,0,normal,0.0013952393
2,0,20000.0,1998,0,125,138865.50999999998,1110.9240799999998,1997.65,547.7729258332884,354,12,113,0.10526315789473684,19740.95,119124.56,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,58,2,6.94292835358232,125,113,0,normal,0.0013952393
3,1,32831.38,727,0,133,157011.96999999997,1180.5411278195486,2819.53,727.5836516809702,356,12,121,0.09836065573770492,32540.3,124471.66999999998,0,12,0.0,0.09022556390977443,0.0,0,0,0.0,0.0,0,0.0,59,2,4.782229311429753,132,122,0,normal,0.0013952393
4,1,49937.06,2954,0,135,164997.27000000002,1222.2020000000002,4308.13,1073.176983445978,357,12,123,0.0967741935483871,49528.99,115468.27999999998,0,12,0.0,0.08888888888888889,0.0,0,0,0.0,0.0,0,0.0,56,2,3.3040384428229697,135,124,0,normal,0.0013952393
5,0,27771.65,2249,0,133,154706.40000000002,1163.2060150375942,2418.03,646.5607633189205,357,12,121,0.09836065573770492,28048.390000000003,126658.01,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,50,2,5.570458706677253,133,122,0,normal,0.0013952393
6,1,138070.71,1708,0,130,264993.63,2038.4125384615386,12003.68,3079.8350036776324,357,12,118,0.10084033613445378,138294.69999999998,126698.93000000001,0,12,0.0,0.09230769230769231,0.0,0,0,0.0,0.0,0,0.0,54,2,1.919246382912184,130,118,0,normal,0.0013952393
7,1,124943.48,3844,0,126,237910.51,1888.1786507936508,10909.92,2831.2957008474696,348,12,114,0.10434782608695652,124923.42,112987.09,0,12,0.0,0.09523809523809523,0.0,0,0,0.0,0.0,1,0.007936507936507936,47,2,1.9041298183000963,124,115,0,normal,0.0013952393
8,1,144558.56,2843,0,133,272093.27,2045.814060150376,12614.56,3250.9562431008076,355,12,121,0.09836065573770492,146251.79,125841.48,0,12,0.0,0.09022556390977443,0.0,0,0,0.0,0.0,0,0.0,54,2,1.8822225939259916,132,122,0,normal,0.0013952393
9,0,20000.0,3991,0,138,148575.83000000002,1076.6364492753623,1999.5,572.705905152714,352,12,126,0.09448818897637795,19956.260000000002,128619.57000000002,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,56,2,7.428420078996051,138,127,0,normal,0.0013952393
10,0,76113.28,2586,1,28,1081120.45,38611.44464285714,214926.6,66098.20339069181,326,6,22,0.2608695652173913,549213.35,531907.1,0,8,0.0,0.2857142857142857,0.0,8,8,0.2857142857142857,1050562.64,0,0.0,7,12,14.203910882425742,28,20,1,round_tripping,0.9874528
11,1,286757.8,896,0,131,404019.80000000005,3084.120610687023,24624.47,6517.044488236597,356,12,119,0.1,281434.57,122585.23,0,12,0.0,0.0916030534351145,0.0,0,0,0.0,0.0,0,0.0,61,2,1.4089185754717906,131,120,0,normal,0.0013952393
12,0,91021.91,591,0,142,221436.90999999997,1559.4148591549294,7750.06,1912.0651771910327,353,12,130,0.0916030534351145,90923.69,130513.21999999999,0,0,0.0,0.0,0.0,0,0,0.0,0.0,12,0.08450704225352113,65,2,2.4327601699396335,140,130,0,normal,0.0013952393
